name,uen,address,tel,fax,contractor_type,trade_type,workhead,workhead_title,grade,detail_url
GIM TIAN SPECIALISTS PTE. LTD.,201707260H,24 LOYANG CRESCENT LOYANG INDUSTRIAL ESTATE SINGAPORE 508987,62910909,,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201707260H
GKE SERVICES PTE LTD,199500792Z,30 PIONEER ROAD #06-01 SINGAPORE 628502,96860095,62252585,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=199500792Z
GLADEN MAINTENANCE SERVICES (S) PTE LTD,199604077R,21 TOH GUAN ROAD EAST #07-21 TOH GUAN CENTRE SINGAPORE 608609,67733218,,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=199604077R
GOLDEN LANDSCAPE & CONSTRUCTION PTE. LTD.,201222616E,3 ANG MO KIO STREET 62 #07-28 LINK@AMK SINGAPORE 569139,68469712,63699550,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201222616E
GOODMAN ENVIRONMENTAL PTE LTD,199703042K,39 SENOKO WAY SINGAPORE 758052,64649959,64649949,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=199703042K
GOVICO PTE. LTD.,201531106M,77 KAKI BUKIT INDUSTRIAL TERRACE SINGAPORE 416157,93395713,,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201531106M
GRACE HOSPITALITY SERVICES PTE. LTD.,201407337K,10 UBI CRESCENT #06-38 UBI TECHPARK SINGAPORE 408564,69581599,,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201407337K
GRACE MAINTENANCE SERVICES PTE LTD,201622442E,"10 UBI CRESCENT #06-39 UBI TECHPARK, LOBBY C SINGAPORE 408564",69581599,,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201622442E
GRD ENGINEERING PTE LTD,202113841W,80 PLATFAIR ROAD #02-01 KAPO FACTORY BUILDING SINGAPORE 367998,62847688,62817688,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=202113841W
GREEN CARE SERVICES PTE LTD,200201748C,101 KITCHENER ROAD #02-32 SINGAPORE 208511,83322211,,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=200201748C
GREEN FOREST LANDSCAPE PTE. LTD.,200707841R,20 SIN MING LANE #05-52 MIDVIEW CITY SINGAPORE 573968,64825191,64833265,fm-registry,housekeeping-cleansing-desilting-conservancy-service,FM02,"Housekeeping, Cleansing, Desilting & Conservancy Service",All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=200707841R
